code	仕入先	品名	保管温度帯	仕入れ単位	棚卸し単位	標準棚卸し単位	最低仕入単位	内製_flg
420	日本食研	食研カレー　200g R	常温	包	包	1	1	0
421	日本食研	丹波種黒豆　1kg A	常温	箱	箱	1	1	0
422	日本食研	一口こぶ巻き(小魚入) 1kg A	常温	袋	袋	1	1	0
423	日本食研	春雨サラダ　1kg	常温	袋	袋	1	1	0
424	日本食研	味の泉　１.８L	常温	本	本	1	1	0
425	日本食研	食研玉子焼　冷凍	冷凍	箱	箱	1	1	0
426	日本食研	食研天ぷら粉　１kg	常温	袋	袋	1	1	0
427	日本食研	D　味噌だれ　1L	常温	本	本	1	1	0
428	日本食研	カラフトシシャモ焼　冷凍	冷凍	箱	箱	1	1	0
429	日本食研	食研ごまドレッシング　チルド　1L	冷蔵	本	本	12	12	0
430	日本食研	筍土佐煮（だし）　１.2kg	常温	袋	袋	1	1	0
431	日本食研	粒あん（しゅまり小豆）　1kg チルド	冷蔵	箱	箱	1	1	0
432	日本食研	食研すりおろし野菜ドレッシング　チルド　1L	冷蔵	本	本	12	12	0
433	日本食研	食研青じそノンオイルドレッシング　チルド　1L	冷蔵	本	本	12	12	0
501	めいらく	ギ）アツプルL	冷蔵	個	個	1	6	0
502	めいらく	ギ）オレンジL	冷蔵	個	個	1	6	0
503	めいらく	ギ）ウルオイ ムラサキノヤサイ	冷蔵	個	個	1	1	0
504	めいらく	カゾクノウルオイ　オレンジ	冷蔵	個	個	1	12	0
505	めいらく	ギ）グレープフルーツ	冷蔵	個	個	1	6	0
601	UCC	ヒルス リッチブレンドAP700g	常温	箱	個	1	12	0
602	UCC	UCCチェスメイトシュガー（N）3g×300P	常温	個	個	1	1	0
603	UCC	UCC カフェプラス 3ML×50P（NEW）	常温	個	個	1	1	0
604	UCC	BM業務用フィルター酸素No.270 250枚	備品	個	個	1	1	0
701	すや亀	別撰こしみそ 10K入	常温	箱	箱	1	1	0
801	自然豊農	有機ミニトマト	冷蔵	KG	KG	0.1	ー	0
802	自然豊農	有機ジャガイモ	常温	KG	KG	0.1	ー	0
803	自然豊農	有機ニンジン	冷蔵	KG	KG	0.1	ー	0
804	自然豊農	有機ハツカダイコン	冷蔵	KG	KG	0.1	ー	0
805	自然豊農	有機サツマイモ	常温	KG	KG	0.1	ー	0
806	自然豊農	有機レタス	冷蔵	KG	KG	0.1	ー	0
807	自然豊農	有機キャベツ	冷蔵	KG	KG	0.1	ー	0
808	自然豊農	有機カブ	冷蔵	KG	KG	0.1	ー	0
809	自然豊農	有機野沢菜	冷蔵	KG	KG	0.1	ー	0
810	自然豊農	有機ホウレンソウ	冷蔵	KG	KG	0.1	ー	0
811	自然豊農	フキノトウ	冷蔵	KG	KG	0.1	ー	0
812	自然豊農	ふき	冷蔵	KG	KG	0.1	ー	0
813	自然豊農	ニラ	冷蔵	KG	KG	0.1	ー	0
814	自然豊農	有機トマトピューレ	冷凍	KG	 KG	0.1	ー	1
815	自然豊農	有機トマトジュース	冷蔵	L	 L	0.1	ー	1
816	自然豊農	玉ねぎ	常温	KG	KG	0.1	ー	0
817	自然豊農	有機野沢菜炒め（冷凍）	冷凍	KG	KG	0.1	ー	1
818	自然豊農	有機野沢菜漬け（塩）	ー	KG	KG	1	ー	1
819	自然豊農	有機中玉トマト	冷蔵	KG	KG	0.1	ー	0
820	自然豊農	有機菊芋	常温	KG	KG	1	ー	0
901	ユダ	フジクロスクリーンおしぼり平無地2000枚入	常温	袋	袋	1	1	0
902	ユダ	2013ポリエチ手袋内エンボスクリアM	常温	個	個	1	1	0
903	ユダ	2013ポリエチ手袋内エンボスクリアL	常温	個	個	1	1	0
904	ユダ	袋入楊枝・英文　1000本入(商売繁盛)	常温	袋	袋	1	1	0
905	ユダ	スマイルチョイス　キッチンブリーチ　5Kg　ミツエイ	常温	本	本	1	1	0
906	ユダ	キッチンクリーナーS 18Kg(ニッシン)	常温	缶	缶	1	1	0
907	ユダ	デターファインエコスーパー　2.5Kg	常温	本	本	1	1	0
908	ユダ	食添業務用ブリーチ5kg	常温	本	本	1	1	0
909	ユダ	マルフクパワー　18K	常温	箱	箱	1	1	0
910	ユダ	ニューデュドライ　10L	常温	箱	箱	1	1	0
911	ユダ	花王スチコンクリーナー　2L	常温	本	本	1	1	0
912	ユダ	六つ折ナフキン（ストレート）	常温	箱	箱	1	1	0
1001	茂木さん	人参	冷蔵	KG	KG	1	1	0
1002	茂木さん	大根	冷蔵	KG	KG	1	1	0
1003	茂木さん	フリルレタス	冷蔵	玉	玉	1	1	0
1004	茂木さん	野沢菜	冷蔵	KG	KG	1	1	0
1005	茂木さん	玉ねぎ	冷蔵	KG	KG	1	1	0
1006	茂木さん	ズッキーニ	冷蔵	本	本	1	1	0
1007	茂木さん	キャベツ	冷蔵	玉	玉	1	1	0
1008	茂木さん	白なす	冷蔵	個	個	1	1	0
